op_rw_wait_pa_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
104,0.059983,0.077621,0.139269,0.099894,0.243073,0.181313,0.392381,0.42069,0.137142,0.145381,0.080485,0.102961,0.057596,0.087924,0.07808,0.054289,0.089683,0.081829,0.037188,0.033532,0.084606,0.105627,0.039251,0.121307,0.044509,0.058244,0.061291,0.132738,0.055937,0.052225,0.101822,0.059585
105,0.139896,0.134299,0.18892,0.183447,0.273816,0.289594,0.298085,0.377217,0.127534,0.14738,0.135563,0.10707,0.199953,0.261863,0.1484,0.112896,0.201915,0.155678,0.210379,0.251029,0.148999,0.161452,0.123816,0.1552,0.113305,0.152514,0.123597,0.137082,0.207481,0.228001,0.132708,0.135675
106,0.305778,0.312727,0.332929,0.258343,0.28536,0.335504,0.302613,0.379208,0.339146,0.295433,0.293343,0.260258,0.471906,0.540711,0.38257,0.268913,0.168606,0.149035,0.419315,0.510716,0.168948,0.157487,0.138314,0.092834,0.305783,0.283593,0.2986,0.314982,0.467934,0.49346,0.312987,0.30349
107,0.45373,0.557967,0.574209,0.440698,0.440688,0.562875,0.544297,0.637394,0.603206,0.554579,0.504382,0.459984,0.693026,0.81465,0.659282,0.479792,0.395672,0.342116,0.610409,0.683204,0.368355,0.347336,0.688014,0.670047,0.645443,0.502787,0.523698,0.578567,0.664093,0.695509,0.600124,0.52968
108,0.278734,0.370349,0.342207,0.148699,0.118958,0.342884,0.257844,0.495561,0.466004,0.323549,0.237323,0.189623,0.539341,0.749347,0.603092,0.258891,0.370706,0.232227,0.725797,0.730252,0.877544,0.8683,0.765103,0.802309,0.474279,0.797631,0.590371,0.790343,0.405695,0.494705,0.66983,0.476498
109,0.103745,0.311937,0.078955,0.027041,0.016306,0.075039,0.032123,0.186287,0.311343,0.221146,0.169001,0.177457,0.146097,0.349421,0.664719,0.157282,0.096453,0.020479,0.423158,0.392264,0.568863,0.622135,0.408658,0.559392,0.151813,0.439779,0.300018,0.519469,0.080825,0.201144,0.716623,0.569458
110,0.038317,0.115954,0.097737,0.077673,0.193198,0.175463,0.179049,0.183093,0.188868,0.161623,0.108741,0.141666,0.042656,0.146142,0.378457,0.056917,0.075719,0.090272,0.167152,0.130874,0.268154,0.357498,0.157723,0.259069,0.049755,0.197315,0.114622,0.218776,0.037714,0.07632,0.373435,0.25247
111,0.144046,0.154077,0.176488,0.171354,0.300517,0.373732,0.21521,0.157135,0.154277,0.136793,0.137413,0.127574,0.172595,0.280508,0.195133,0.15383,0.145275,0.116621,0.103147,0.095414,0.104248,0.127135,0.107291,0.122089,0.109213,0.139414,0.146634,0.142948,0.348154,0.337272,0.186591,0.156855
112,0.176698,0.246342,0.241527,0.261521,0.275845,0.358752,0.286211,0.272259,0.2605,0.26085,0.254146,0.296925,0.411029,0.526841,0.25651,0.277608,0.155576,0.140617,0.409947,0.428643,0.128055,0.133639,0.101485,0.107429,0.269205,0.291425,0.230923,0.324795,0.621664,0.523126,0.307541,0.225537
113,0.095505,0.152173,0.158882,0.144759,0.144072,0.246841,0.161307,0.184229,0.148087,0.132956,0.147735,0.170094,0.246748,0.481892,0.15891,0.137589,0.162449,0.12136,0.425995,0.404698,0.196479,0.202167,0.592808,0.699248,0.242954,0.754081,0.124159,0.2153,0.573287,0.425719,0.170253,0.144093
114,0.136295,0.155354,0.05287,0.02217,0.023424,0.073005,0.036052,0.053207,0.025053,0.03418,0.019282,0.030143,0.064685,0.208177,0.059903,0.095304,0.062228,0.066502,0.199129,0.160827,0.36421,0.183716,0.348946,0.521683,0.035299,0.448631,0.313585,0.310482,0.216451,0.156602,0.108422,0.084139
115,0.069478,0.118603,0.081085,0.084466,0.063683,0.071392,0.077377,0.077694,0.208159,0.212336,0.238208,0.232716,0.089217,0.083762,0.169293,0.135932,0.021015,0.017417,0.015519,0.019049,0.036843,0.016524,0.044331,0.135164,0.077757,0.117702,0.127194,0.131692,0.079013,0.078049,0.097532,0.080413
116,0.017657,0.045627,0.111915,0.087316,0.101943,0.122448,0.135143,0.115127,0.121532,0.120456,0.110222,0.087777,0.041268,0.054398,0.065448,0.056752,0.161067,0.189862,0.090107,0.08471,0.080595,0.08965,0.073343,0.079589,0.028162,0.044552,0.033977,0.055555,0.030196,0.034913,0.077385,0.022401
117,0.129912,0.115095,0.115707,0.136352,0.342434,0.299495,0.160432,0.193483,0.093063,0.1018,0.119386,0.123019,0.324005,0.302527,0.110329,0.109891,0.075322,0.092501,0.068031,0.051866,0.056649,0.068241,0.051816,0.051812,0.106446,0.10588,0.092773,0.10705,0.245136,0.242045,0.112249,0.101903
118,0.060419,0.062961,0.063541,0.037153,0.120621,0.131323,0.056138,0.092044,0.057019,0.098883,0.048989,0.06703,0.315652,0.347422,0.045589,0.048314,0.070511,0.045047,0.27105,0.227622,0.038308,0.100911,0.073675,0.059274,0.161926,0.107944,0.035008,0.079658,0.143202,0.168393,0.071091,0.063957
119,0.152703,0.083547,0.080754,0.117537,0.098518,0.102523,0.105091,0.084336,0.092689,0.075681,0.084197,0.081238,0.060806,0.08628,0.098818,0.070472,0.038446,0.030431,0.065686,0.054303,0.024467,0.023028,0.077222,0.092686,0.077282,0.254676,0.076277,0.106169,0.089595,0.082315,0.080812,0.085794
120,0.300252,0.418333,0.281343,0.363888,0.283343,0.31439,0.349832,0.3317,0.320241,0.295574,0.273118,0.290962,0.304293,0.358989,0.319162,0.270174,0.160127,0.12913,0.192237,0.180816,0.433642,0.529819,0.215322,0.176847,0.158223,0.346121,0.509092,0.566253,0.237268,0.280724,0.46536,0.530061
121,0.209029,0.361863,0.226361,0.330589,0.223458,0.307679,0.348047,0.348722,0.615066,0.626389,0.419437,0.381276,0.2325,0.339866,0.554482,0.502142,0.369221,0.302468,0.396607,0.398452,0.553648,0.796923,0.421736,0.357598,0.093969,0.312298,0.646983,0.744763,0.172644,0.235318,0.592029,0.70738
122,0.046424,0.092901,0.142881,0.148523,0.036057,0.081173,0.283207,0.391002,0.445299,0.536143,0.26975,0.195263,0.047655,0.085708,0.311036,0.196761,0.392492,0.171401,0.104043,0.180433,0.292259,0.661753,0.15566,0.091445,0.042719,0.060915,0.326572,0.443014,0.044414,0.039127,0.300851,0.425805
123,0.147239,0.150939,0.305667,0.314822,0.36466,0.479498,0.496295,0.618424,0.373642,0.463193,0.271339,0.177368,0.353353,0.333289,0.305529,0.161131,0.398468,0.117597,0.071092,0.080429,0.084523,0.442037,0.080359,0.092515,0.133702,0.179386,0.306659,0.392674,0.143087,0.127044,0.296896,0.418924
124,0.096028,0.050523,0.064383,0.057199,0.074865,0.145091,0.195216,0.43809,0.067697,0.103077,0.034709,0.033407,0.324549,0.267972,0.040261,0.030415,0.277551,0.067727,0.379242,0.462434,0.078185,0.304267,0.097572,0.069746,0.092579,0.227152,0.046951,0.108525,0.163582,0.161806,0.046793,0.118617
125,0.241134,0.419521,0.122306,0.10361,0.088258,0.108931,0.134669,0.314769,0.107724,0.099205,0.113482,0.127581,0.151961,0.184018,0.120893,0.092596,0.069993,0.066244,0.087766,0.09317,0.029078,0.062352,0.446665,0.392517,0.128713,0.305376,0.110742,0.139707,0.129677,0.122342,0.139496,0.141078
126,0.133091,0.45975,0.086203,0.059898,0.080577,0.104562,0.099445,0.270223,0.058009,0.048283,0.107252,0.0728,0.093177,0.170173,0.099716,0.075453,0.111531,0.085809,0.109757,0.113885,0.566933,0.350929,0.456726,0.32269,0.07069,0.182396,0.215156,0.215759,0.074305,0.077506,0.580588,0.557597
127,0.05467,0.163857,0.059089,0.038637,0.036496,0.04892,0.048936,0.090282,0.198437,0.174912,0.195905,0.139106,0.05099,0.087692,0.163556,0.160904,0.023269,0.020644,0.028788,0.027337,0.390252,0.239175,0.309707,0.15949,0.057647,0.055833,0.224175,0.274157,0.049927,0.03836,0.309086,0.345251
128,0.109382,0.108563,0.487962,0.483988,0.132088,0.214431,0.413121,0.372761,0.387537,0.352071,0.200366,0.262584,0.171692,0.268421,0.17065,0.170702,0.375111,0.323136,0.116159,0.124091,0.130017,0.139911,0.119263,0.121382,0.128292,0.139131,0.149397,0.247633,0.128074,0.204623,0.246506,0.282263
129,0.095983,0.090937,0.428295,0.414161,0.282614,0.465265,0.473003,0.544805,0.220008,0.205281,0.105628,0.140254,0.317492,0.46298,0.098737,0.077645,0.318218,0.277124,0.084689,0.123071,0.109641,0.139442,0.098675,0.102068,0.255272,0.115399,0.095692,0.124259,0.111356,0.096751,0.124236,0.128452
130,0.097286,0.024991,0.111329,0.07716,0.019617,0.12306,0.098268,0.241541,0.017454,0.02581,0.020624,0.020583,0.171407,0.354279,0.016207,0.017436,0.141777,0.069657,0.342555,0.328387,0.055019,0.080662,0.047105,0.059999,0.037146,0.127879,0.023425,0.022493,0.110291,0.073816,0.022655,0.022532
131,0.074329,0.191516,0.065108,0.085027,0.088812,0.0486,0.044948,0.06356,0.051936,0.088961,0.041482,0.051912,0.0432,0.060081,0.062225,0.077563,0.020685,0.017574,0.029578,0.021852,0.019244,0.023141,0.143001,0.149998,0.066021,0.056458,0.059648,0.062471,0.05483,0.052138,0.042696,0.051191
132,0.255979,0.239522,0.259628,0.173409,0.221652,0.264048,0.228516,0.288701,0.312378,0.233672,0.276435,0.255604,0.245997,0.313552,0.22107,0.278591,0.149011,0.131215,0.175634,0.160809,0.441736,0.461553,0.158396,0.1826,0.14765,0.215341,0.48262,0.484448,0.203324,0.239179,0.705752,0.682441
133,0.142299,0.142928,0.153699,0.087273,0.124389,0.195259,0.175079,0.212013,0.478016,0.348614,0.526641,0.47947,0.127602,0.226564,0.339646,0.196628,0.199149,0.194785,0.278645,0.264242,0.587658,0.594529,0.291654,0.324748,0.114441,0.113625,0.477749,0.574137,0.119664,0.111975,0.836468,0.740755
134,0.088454,0.105192,0.37697,0.377009,0.157588,0.167542,0.396437,0.372917,0.653684,0.502277,0.548652,0.473046,0.084699,0.307812,0.280242,0.125831,0.493808,0.369574,0.129992,0.140077,0.40336,0.475969,0.166087,0.26695,0.101872,0.135799,0.388736,0.494178,0.123787,0.104047,0.809782,0.728459
135,0.055246,0.055717,0.126199,0.118769,0.162214,0.173652,0.308157,0.368293,0.303145,0.186794,0.22594,0.161966,0.078979,0.225569,0.087025,0.022001,0.41621,0.267832,0.045478,0.070075,0.336119,0.392489,0.077535,0.230254,0.112164,0.12269,0.113645,0.175397,0.086426,0.088879,0.450691,0.358811
136,0.185678,0.384908,0.230358,0.162797,0.168575,0.196997,0.164963,0.181909,0.228763,0.187157,0.172601,0.142801,0.159773,0.432333,0.187341,0.177944,0.117468,0.090109,0.096855,0.116435,0.088873,0.08946,0.069622,0.057033,0.207278,0.250024,0.212404,0.210512,0.349227,0.327628,0.256952,0.258056
137,0.414952,0.688193,0.47858,0.386434,0.380855,0.451276,0.398287,0.509968,0.537768,0.424579,0.371159,0.325862,0.362565,0.705609,0.461285,0.366011,0.238261,0.23084,0.152109,0.222441,0.217278,0.206843,0.644219,0.662965,0.40301,0.525837,0.475283,0.487001,0.605945,0.601067,0.568353,0.515157
138,0.66619,0.87364,0.665663,0.634188,0.598478,0.67352,0.64536,0.785598,0.752762,0.650916,0.594941,0.535179,0.521406,0.991317,0.930084,0.809688,0.460974,0.367477,0.362562,0.425936,0.938958,0.969648,0.849443,0.868802,0.51667,0.698127,1.063238,1.090384,0.752613,0.72879,1.013736,0.896866
139,0.461789,0.76076,0.469388,0.383056,0.318727,0.481075,0.450817,0.724211,1.003528,0.891106,0.811443,0.71001,0.236997,1.031631,0.979605,0.809337,0.624353,0.490125,0.533489,0.599003,1.080768,1.116612,1.005777,1.07813,0.287429,0.512058,1.037676,1.219448,0.627567,0.557596,1.227698,1.04048
140,0.341501,0.428391,0.475998,0.382499,0.336015,0.602192,0.477148,0.77552,0.921815,0.835388,0.645238,0.533409,0.160161,0.843318,0.787878,0.485409,0.889965,0.700043,0.285919,0.377847,0.948528,1.013183,0.848011,1.037052,0.211006,0.358838,0.693881,1.042688,0.391498,0.327877,1.038297,0.849171
141,0.154145,0.159722,0.051328,0.051286,0.177777,0.423858,0.217227,0.433957,0.354815,0.33758,0.144226,0.059054,0.044204,0.669854,0.269656,0.035813,0.585631,0.366981,0.166948,0.200579,0.61324,0.707902,0.508779,0.800305,0.034402,0.116815,0.113197,0.536934,0.292698,0.236339,0.565947,0.283737
142,0.118236,0.158164,0.080835,0.059629,0.087797,0.224223,0.103999,0.235578,0.139251,0.164472,0.094218,0.047265,0.050721,0.499568,0.123153,0.063967,0.12902,0.041723,0.121965,0.135691,0.179849,0.294265,0.06992,0.38405,0.066547,0.058127,0.058949,0.303714,0.304185,0.22534,0.383473,0.132934
143,0.110657,0.12077,0.115109,0.081655,0.107718,0.170265,0.074457,0.197889,0.124193,0.1186,0.112197,0.097546,0.114199,0.424723,0.113023,0.111448,0.087659,0.070944,0.080106,0.084523,0.069872,0.128593,0.346287,0.71429,0.108472,0.126006,0.097608,0.237953,0.197306,0.12797,0.323943,0.151558
144,0.073969,0.06786,0.061311,0.063413,0.050088,0.092713,0.072989,0.101551,0.058378,0.049374,0.049185,0.05612,0.041357,0.217372,0.15784,0.3434,0.089143,0.05993,0.07515,0.123855,0.226888,0.524325,0.336534,0.69062,0.064367,0.06449,0.085615,0.290279,0.097694,0.064703,0.245554,0.258697
145,0.046757,0.044173,0.095612,0.084262,0.034704,0.056449,0.058177,0.069383,0.195926,0.147057,0.449201,0.473478,0.066778,0.088393,0.051699,0.081013,0.062786,0.062329,0.086254,0.074757,0.067659,0.173802,0.069624,0.340403,0.11909,0.068058,0.060708,0.09765,0.078264,0.078111,0.14127,0.200084
146,0.035848,0.009787,0.087113,0.117457,0.036222,0.034637,0.019625,0.033909,0.030927,0.01566,0.188196,0.199623,0.124885,0.152678,0.014808,0.007767,0.113964,0.281106,0.023711,0.024708,0.02009,0.024902,0.028332,0.04232,0.096378,0.099757,0.016536,0.010073,0.014383,0.012209,0.028202,0.020657
147,0.107996,0.159466,0.099983,0.113991,0.119075,0.114637,0.10357,0.110257,0.111054,0.100289,0.10619,0.086907,0.097587,0.159557,0.119842,0.110603,0.029212,0.021603,0.121849,0.137727,0.022541,0.023279,0.019669,0.02365,0.104004,0.126692,0.111181,0.107542,0.14038,0.344898,0.09794,0.1096
148,0.174679,0.277356,0.172813,0.197768,0.209621,0.235228,0.178534,0.24091,0.238314,0.241833,0.201995,0.203396,0.12036,0.258964,0.206478,0.166002,0.135813,0.112072,0.249473,0.28892,0.154815,0.148674,0.161182,0.155936,0.176964,0.259713,0.221578,0.222121,0.220425,0.426524,0.235219,0.312766
149,0.352241,0.467496,0.326532,0.399136,0.405806,0.428667,0.378999,0.47771,0.47053,0.438162,0.381704,0.433745,0.30836,0.530173,0.48638,0.358438,0.204032,0.146679,0.256359,0.344929,0.181593,0.164631,0.556876,0.630982,0.339365,0.461824,0.369123,0.402931,0.417937,0.594859,0.47615,0.569971
150,0.162584,0.373758,0.160089,0.222501,0.156203,0.243103,0.199107,0.454209,0.363408,0.274067,0.152071,0.325819,0.125226,0.538292,0.512799,0.542812,0.40173,0.267408,0.461198,0.55262,0.773288,0.743508,0.702635,0.822271,0.119409,0.247696,0.503699,0.814097,0.247611,0.473636,0.571346,0.755984
151,0.144204,0.160764,0.131415,0.08017,0.057957,0.08887,0.04211,0.209487,0.296892,0.118714,0.22642,0.337712,0.109453,0.241284,0.185085,0.167674,0.174289,0.051838,0.269328,0.322541,0.617913,0.667165,0.531533,0.737625,0.138519,0.200913,0.171843,0.448197,0.086714,0.17773,0.49023,0.622686
152,0.042612,0.078095,0.054203,0.050161,0.137097,0.140598,0.13189,0.256559,0.118344,0.043698,0.041782,0.057654,0.069767,0.244245,0.046559,0.046775,0.215982,0.158829,0.089052,0.07629,0.206507,0.310652,0.166599,0.390081,0.046264,0.154531,0.037203,0.0952,0.039411,0.04977,0.115254,0.150195
153,0.105951,0.148536,0.148407,0.112097,0.197486,0.258888,0.127156,0.294339,0.107186,0.131845,0.153313,0.122352,0.079968,0.199465,0.125453,0.084457,0.02397,0.030151,0.183108,0.141569,0.022266,0.042235,0.022009,0.055535,0.113318,0.077196,0.108922,0.130336,0.48372,0.411122,0.092018,0.160029
154,0.372111,0.390346,0.47225,0.337578,0.398299,0.574665,0.414909,0.626076,0.457626,0.480762,0.446466,0.440904,0.390208,0.526557,0.371579,0.293025,0.148393,0.206286,0.395583,0.403617,0.165711,0.124349,0.172479,0.140055,0.362718,0.38748,0.44715,0.440103,0.72552,0.681861,0.46084,0.530506
155,0.231246,0.300556,0.462997,0.227679,0.229502,0.530581,0.313706,0.645295,0.359048,0.443992,0.420738,0.324593,0.304282,0.57335,0.562849,0.677805,0.436173,0.439774,0.631733,0.634349,0.466516,0.363062,0.83697,0.687635,0.216578,0.284721,0.474986,0.487132,0.673745,0.659211,0.473157,0.58474
156,0.338197,0.262339,0.370769,0.174906,0.117805,0.467168,0.250976,0.581852,0.256311,0.432696,0.449282,0.250994,0.318236,0.54818,0.488369,0.586069,0.429803,0.297094,0.619492,0.523641,0.808743,0.727782,0.787332,0.698166,0.290896,0.228106,0.690077,0.725067,0.495933,0.517911,0.609404,0.811704
157,0.137999,0.039797,0.252038,0.114357,0.004027,0.127149,0.035151,0.304959,0.120228,0.32378,0.401897,0.18337,0.186462,0.473927,0.12433,0.149688,0.614552,0.407557,0.552558,0.458416,0.747826,0.652667,0.726437,0.610834,0.149187,0.174489,0.345006,0.43345,0.203526,0.196844,0.64613,0.81776
158,0.016277,0.020726,0.014695,0.014022,0.235252,0.256208,0.057242,0.164958,0.019663,0.02418,0.020845,0.016144,0.018809,0.206936,0.014073,0.01317,0.510355,0.264178,0.180299,0.111825,0.326979,0.278694,0.385722,0.287039,0.013049,0.012622,0.015076,0.013314,0.011221,0.011156,0.064879,0.161533
159,0.113568,0.124728,0.08897,0.084363,0.160122,0.176541,0.120861,0.094269,0.105371,0.105948,0.129268,0.099968,0.099025,0.118418,0.125569,0.107153,0.023814,0.011796,0.16171,0.150982,0.015351,0.014711,0.013429,0.015984,0.08103,0.106899,0.087604,0.109272,0.514219,0.3484,0.089859,0.116613
160,0.192378,0.272861,0.26141,0.207081,0.261011,0.295504,0.254549,0.294452,0.358298,0.21033,0.282514,0.233771,0.240015,0.355169,0.375601,0.353587,0.122637,0.119248,0.274162,0.29419,0.112892,0.149809,0.10804,0.121329,0.219877,0.270418,0.27503,0.294772,0.663326,0.436305,0.351087,0.255029
161,0.157649,0.170957,0.178996,0.166124,0.189015,0.193908,0.169449,0.217189,0.191607,0.178259,0.18753,0.24472,0.196621,0.310978,0.213928,0.27222,0.218103,0.128939,0.303099,0.311922,0.324945,0.345984,0.687905,0.635997,0.102362,0.159909,0.137849,0.144062,0.335593,0.117832,0.146035,0.15801
162,0.127503,0.087436,0.082989,0.055388,0.061627,0.065098,0.046245,0.08296,0.077667,0.058066,0.063025,0.13849,0.102778,0.205039,0.076201,0.089872,0.219218,0.170021,0.214705,0.182872,0.36206,0.376329,0.476609,0.424916,0.129766,0.258243,0.35996,0.42303,0.089086,0.032966,0.267327,0.166713
163,0.02237,0.041169,0.11778,0.097714,0.011437,0.017353,0.148085,0.05278,0.075979,0.045438,0.131991,0.13021,0.029871,0.036911,0.030661,0.036351,0.201363,0.140302,0.079375,0.048154,0.171543,0.160797,0.217644,0.226107,0.003151,0.07177,0.002305,0.024068,0.004282,0.002001,0.091227,0.047202
164,0.094878,0.091208,0.112493,0.079485,0.203262,0.273886,0.159793,0.099776,0.11947,0.126529,0.093124,0.091189,0.088195,0.110601,0.09665,0.094328,0.047258,0.045601,0.041536,0.030722,0.030009,0.082923,0.019988,0.021383,0.066207,0.072295,0.071708,0.082164,0.072202,0.072796,0.080253,0.075222
165,0.124689,0.11519,0.132954,0.095954,0.091504,0.087898,0.087008,0.113148,0.095925,0.100043,0.122066,0.086717,0.07406,0.09858,0.09401,0.104532,0.081774,0.074431,0.173466,0.196439,0.111362,0.074418,0.085551,0.082336,0.083606,0.092919,0.078325,0.110136,0.133162,0.142267,0.073155,0.078793
166,0.029285,0.040173,0.035913,0.040528,0.025097,0.042514,0.026786,0.049421,0.022152,0.030411,0.049454,0.028032,0.024284,0.04691,0.044154,0.032155,0.105928,0.079907,0.149589,0.16495,0.077809,0.11137,0.097583,0.111915,0.027489,0.06909,0.060616,0.057293,0.054063,0.078127,0.080944,0.109249
167,0.112538,0.082781,0.075845,0.064062,0.059803,0.068252,0.067948,0.079501,0.077558,0.065881,0.059599,0.048913,0.060205,0.097436,0.053338,0.055844,0.022545,0.024078,0.027456,0.039841,0.040834,0.048451,0.025757,0.029227,0.097032,0.10363,0.088811,0.071295,0.051047,0.065458,0.074342,0.082702
168,0.034628,0.03173,0.121557,0.152477,0.031475,0.030803,0.053129,0.070899,0.034752,0.035701,0.03297,0.026437,0.033328,0.102433,0.0397,0.027888,0.098169,0.087396,0.106748,0.088488,0.329295,0.124891,0.10387,0.128758,0.024769,0.037992,0.038766,0.046569,0.0316,0.032003,0.034105,0.031079
169,0.112391,0.119743,0.201139,0.296202,0.11863,0.156189,0.362923,0.357554,0.364012,0.237771,0.314751,0.341572,0.118679,0.284493,0.147203,0.132984,0.079865,0.147494,0.047297,0.040786,0.039839,0.03478,0.034794,0.04435,0.097052,0.168252,0.119192,0.13714,0.119783,0.107942,0.132251,0.15691
170,0.010414,0.014999,0.05058,0.079208,0.043647,0.124474,0.104494,0.117918,0.185392,0.140538,0.169989,0.270505,0.010616,0.096257,0.033847,0.033782,0.115332,0.116939,0.177183,0.1468,0.170632,0.175327,0.153137,0.144278,0.023022,0.02376,0.053538,0.059833,0.038817,0.047646,0.028121,0.065567
171,0.208493,0.201701,0.216294,0.167921,0.188474,0.184896,0.181326,0.215448,0.233838,0.19455,0.208293,0.196734,0.195962,0.233579,0.186301,0.188378,0.009986,0.007862,0.070149,0.111192,0.010984,0.019319,0.01064,0.008757,0.211978,0.204343,0.155831,0.179226,0.372931,0.327977,0.200483,0.178654
172,0.548572,0.53978,0.502211,0.423893,0.366879,0.432162,0.446738,0.436612,0.472387,0.406334,0.470107,0.374341,0.363973,0.579136,0.755195,0.585265,0.246982,0.249059,0.253826,0.263945,0.228342,0.253315,0.227018,0.246604,0.60426,0.511141,0.431681,0.531311,0.681548,0.625111,0.591193,0.501532
173,0.234147,0.211374,0.132432,0.086507,0.057919,0.144338,0.1234,0.144706,0.128502,0.080511,0.128846,0.070148,0.132067,0.325472,0.394952,0.216467,0.460634,0.427843,0.42947,0.475138,0.495118,0.623779,0.826679,0.784206,0.38625,0.508131,0.215374,0.402038,0.395189,0.277264,0.345245,0.240499
174,0.055581,0.049404,0.077579,0.084855,0.069808,0.066376,0.165037,0.204741,0.048781,0.024935,0.038922,0.056625,0.046901,0.071525,0.060118,0.050786,0.156035,0.181383,0.097676,0.134067,0.383694,0.352798,0.466915,0.464077,0.035085,0.130207,0.040273,0.065633,0.046172,0.037072,0.098535,0.09799
175,0.044896,0.064073,0.078902,0.084971,0.175812,0.152053,0.218396,0.257498,0.466112,0.425546,0.422,0.460258,0.047317,0.07153,0.040627,0.044244,0.072894,0.067567,0.062423,0.056465,0.062796,0.058429,0.054753,0.067043,0.05548,0.082642,0.078336,0.067774,0.059509,0.067875,0.103342,0.070032
176,0.042742,0.034405,0.03012,0.037755,0.139538,0.143734,0.039608,0.058692,0.237803,0.220683,0.179212,0.227919,0.039423,0.043509,0.049748,0.038302,0.047496,0.038316,0.05132,0.058792,0.043488,0.070255,0.053752,0.046796,0.030535,0.032936,0.034808,0.036578,0.043992,0.052455,0.034323,0.04363
177,0.189437,0.207075,0.212352,0.179711,0.158474,0.257867,0.148047,0.217905,0.256172,0.280965,0.215543,0.206685,0.159626,0.194249,0.327122,0.295332,0.067366,0.054423,0.162802,0.171345,0.033912,0.042587,0.034167,0.037942,0.130917,0.168814,0.105446,0.147642,0.446306,0.495097,0.140539,0.15475
178,0.146084,0.284848,0.152772,0.096485,0.084464,0.183965,0.072959,0.161326,0.135655,0.176243,0.097383,0.105067,0.265061,0.157884,0.260984,0.184532,0.23541,0.18477,0.303442,0.234856,0.178948,0.211388,0.175107,0.205802,0.121811,0.219437,0.066318,0.116095,0.331512,0.434731,0.095782,0.100304
179,0.046479,0.126243,0.026084,0.028849,0.040014,0.037802,0.035592,0.050174,0.037478,0.037173,0.03385,0.031319,0.067569,0.068327,0.058263,0.033402,0.094955,0.053653,0.166099,0.072998,0.145051,0.258457,0.269764,0.369204,0.035644,0.120523,0.148093,0.111662,0.035366,0.079866,0.138911,0.149203
180,0.113988,0.12525,0.387849,0.308463,0.121049,0.127701,0.298671,0.325874,0.130711,0.175652,0.176163,0.139975,0.129456,0.17782,0.168052,0.146809,0.174065,0.104369,0.047849,0.041493,0.102074,0.21211,0.07021,0.090762,0.144572,0.200528,0.162508,0.22991,0.14759,0.163187,0.476852,0.412174
181,0.090882,0.090902,0.301009,0.132816,0.214025,0.352077,0.453695,0.287279,0.26983,0.385078,0.426266,0.304308,0.068479,0.071561,0.110233,0.092853,0.367112,0.281182,0.167028,0.156606,0.17639,0.148779,0.165308,0.193551,0.077804,0.097505,0.070713,0.129877,0.077409,0.072485,0.386901,0.282283
182,0.296933,0.296091,0.483479,0.228447,0.53223,0.625833,0.559936,0.455497,0.450781,0.587207,0.608637,0.518734,0.275155,0.339523,0.290637,0.289536,0.282272,0.144433,0.099193,0.096987,0.091778,0.078168,0.079792,0.078372,0.244763,0.290381,0.286928,0.328661,0.470651,0.383738,0.509969,0.394565
183,0.44741,0.282317,0.38173,0.097556,0.403899,0.576295,0.508182,0.322986,0.335532,0.50421,0.53784,0.438889,0.205481,0.344315,0.592199,0.495065,0.437182,0.148392,0.437756,0.49744,0.235182,0.281143,0.278292,0.284877,0.258371,0.232629,0.134914,0.281344,0.667832,0.526428,0.452536,0.387357
184,0.057228,0.048002,0.029422,0.010926,0.028724,0.116409,0.096756,0.024477,0.040986,0.158041,0.185822,0.092649,0.074409,0.100511,0.267493,0.191247,0.332826,0.046855,0.628064,0.667125,0.135791,0.231636,0.17304,0.247636,0.131656,0.219211,0.086698,0.029573,0.208293,0.137488,0.106518,0.069851
185,0.063727,0.071701,0.075745,0.103109,0.053004,0.071004,0.060511,0.096627,0.06853,0.067693,0.073512,0.069259,0.070593,0.089596,0.065967,0.052562,0.025174,0.010191,0.178763,0.184416,0.150245,0.15845,0.117347,0.195475,0.04343,0.052683,0.17915,0.207457,0.064719,0.044816,0.352954,0.32636
